"module name","licenses"
"@babel/code-frame@7.16.0","MIT"
"@babel/generator@7.13.9","MIT"
"@babel/helper-annotate-as-pure@7.16.0","MIT"
"@babel/helper-function-name@7.16.0","MIT"
"@babel/helper-get-function-arity@7.16.0","MIT"
"@babel/helper-module-imports@7.16.0","MIT"
"@babel/helper-split-export-declaration@7.16.0","MIT"
"@babel/helper-validator-identifier@7.15.7","MIT"
"@babel/highlight@7.16.0","MIT"
"@babel/parser@7.14.6","MIT"
"@babel/parser@7.16.2","MIT"
"@babel/template@7.16.0","MIT"
"@babel/traverse@7.13.0","MIT"
"@babel/types@7.13.0","MIT"
"@babel/types@7.16.0","MIT"
"@csstools/convert-colors@1.4.0","CC0-1.0"
"@csstools/sass-import-resolve@1.0.0","CC0-1.0"
"@emotion/is-prop-valid@0.8.8","MIT"
"@emotion/memoize@0.7.4","MIT"
"@emotion/stylis@0.8.5","MIT"
"@emotion/unitless@0.7.5","MIT"
"@next/env@12.1.6","MIT"
"@next/env@13.2.4","MIT"
"@next/swc-linux-x64-gnu@12.1.6","MIT"
"@next/swc-linux-x64-gnu@13.2.4","MIT"
"@next/swc-linux-x64-musl@12.1.6","MIT"
"@next/swc-linux-x64-musl@13.2.4","MIT"
"@ory/client@0.0.0-next.f88d10559361","Unlicense"
"@ory/client@0.2.0-alpha.60","Apache-2.0"
"@ory/integration-react@0.0.1","Apache*"
"@ory/integrations@0.2.8","Apache-2.0"
"@ory/themes@0.0.101","Apache*"
"@swc/helpers@0.4.14","MIT"
"@types/tldjs@2.3.1","MIT"
"ajv@6.12.6","MIT"
"ansi-regex@2.1.1","MIT"
"ansi-styles@2.2.1","MIT"
"ansi-styles@3.2.1","MIT"
"asn1@0.2.6","MIT"
"assert-plus@1.0.0","MIT"
"asynckit@0.4.0","MIT"
"autoprefixer@9.8.8","MIT"
"aws-sign2@0.7.0","Apache-2.0"
"aws4@1.11.0","MIT"
"axios@0.21.4","MIT"
"axios@0.26.1","MIT"
"babel-plugin-styled-components@1.13.3","MIT"
"babel-plugin-syntax-jsx@6.18.0","MIT"
"balanced-match@1.0.2","MIT"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause"
"binaryextensions@4.18.0","MIT"
"browserslist@4.17.6","MIT"
"camelize@1.0.0","MIT"
"caniuse-lite@1.0.30001468","CC-BY-4.0"
"caseless@0.12.0","Apache-2.0"
"chalk@1.1.3","MIT"
"chalk@2.4.2","MIT"
"classnames@2.3.1","MIT"
"client-only@0.0.1","MIT"
"clsx@1.1.1","MIT"
"color-convert@1.9.3","MIT"
"color-name@1.1.3","MIT"
"combined-stream@1.0.8","MIT"
"cookie@0.4.1","MIT"
"core-util-is@1.0.2","MIT"
"css-blank-pseudo@0.1.4","CC0-1.0"
"css-color-keywords@1.0.0","ISC"
"css-has-pseudo@0.10.0","CC0-1.0"
"css-prefers-color-scheme@3.1.1","CC0-1.0"
"css-to-react-native@3.0.0","MIT"
"cssdb@4.4.0","CC0-1.0"
"cssesc@2.0.0","MIT"
"cssesc@3.0.0","MIT"
"dashdash@1.14.1","MIT"
"debug@4.3.2","MIT"
"delayed-stream@1.0.0","MIT"
"ecc-jsbn@0.1.2","MIT"
"electron-to-chromium@1.3.892","ISC"
"escalade@3.1.1","MIT"
"escape-string-regexp@1.0.5","MIT"
"extend@3.0.2","MIT"
"extsprintf@1.3.0","MIT"
"fast-deep-equal@3.1.3","MIT"
"fast-json-stable-stringify@2.1.0","MIT"
"flatten@1.0.3","MIT"
"follow-redirects@1.14.9","MIT"
"forever-agent@0.6.1","Apache-2.0"
"form-data@2.3.3","MIT"
"getpass@0.1.7","MIT"
"globals@11.12.0","MIT"
